AAI	a a i
ABBATIAT	a b a s j a
ABBAYE	a b e i
ABBAYES	a b e i
ABC	a b e s e
ABCD	a b k
ABJECT	a b ʒ ɛ k t
ABJECTS	a b ʒ ɛ k t
ABLUTIONS	a b l y s j õ
ABREST	a b ʁ ɛ
ABRIBUS	a b ʁ i b y s
ABRUPTS	a b ʁ y p t
ABSENT	a b s ã
ABÎMENT	a b i m
ACCENT	a k s ã
ACCESSIT	a k s e s i t
ACCESSITS	a k s e s i t
ACCIDENT	a k s i d ã
ACCLAMENT	a k l a m
ACCROC	a k ʁ o
ACCROCS	a k ʁ o
ACP	a k
ACQUIERT	a k j ɛ ʁ
ACROBATIE	a k ʁ ɔ b a s i
ACROBATIES	a k ʁ ɔ b a s i
ACT	a k
AD	a d
ADAPTIONS	a d a p t j õ
ADC	a d e s e
ADHÉRENT	a d e ʁ ã
ADJACENT	a d ʒ a s ã
ADM	a d m
ADOLESCENT	a d ɔ l ɛ s ã
ADONIS	a d ɔ n i s
ADP	a d e p e
ADS	a d
ADSL	a d s l
ADVIENT	a d v j ɛ̃
ADÉQUAT	a d e k w a t
ADÉQUATEMENT	a d e k w a t m ã
AFFECT	a f ɛ k t
AFFECTS	a f ɛ k t
AFFIRMENT	a f i ʁ m
AFFLUENT	a f l y ã
AFFLUX	a f l y
AFN	a ɛ f ɛ n
AFP	a f
AFRIKANER	a f ʁ i k a n ɛ ʁ
AFRIKANERS	a f ʁ i k a n ɛ ʁ
AG	a ʒ e
AGENDA	a ʒ ɛ̃ d a
AGENDAS	a ʒ ɛ̃ d a
AGENT	a ʒ ã
AGF	a g f
AGITIONS	a ʒ i t j õ
AGL	a ʒ e ɛ l
AGNOSIE	a g n o z i
AGNOSTIQUE	a g n ɔ s t i k
AGNOSTIQUES	a g n ɔ s t i k
AGNÈS	a ɲ ɛ s
AGS	a
AHMED	a m ɛ d
AHUILLÉ	a ɥ i j e
AI	e
AIGLUN	e g l ɛ̃
AIGUADES	ɛ g a d
AIGUILHE	e g ɥ i j
AIRBNB	ɛ ʁ b n b
AIRBUS	ɛ ʁ b y s
AISNE	ɛ n
ALARMENT	a l a ʁ m
ALBATROS	a l b a t ʁ ɔ s
ALBINOS	a l b i n ɔ s
ALBOUY	a l b w i
ALC	a ɛ l s e
ALD	a ɛ l d e
ALEXANDER	a l ɛ k s ã d ɛ ʁ
ALFRED	a l f ʁ ɛ d
ALLAUCH	a l o
ALLEGRETTO	a l g ʁ ɛ t o
ALLEGRO	a l g ʁ o
ALMANACH	a l m a n a
ALMANACHS	a l m a n a k
ALMERIA	a l m e ʁ j a
ALOÈS	a l ɔ ɛ s
ALSACE	a l z a s
ALTOCUMULUS	a l t ɔ k y m y l y s
ALVAREZ	a l v a ʁ ɛ z
AMARYLLIS	a m a ʁ i l i s
AMBIENT	ã b j ã
AMBITUS	ã b i t y s
AMBIVALENT	ã b i v a l ã
AMD	ã
AMER	a m ɛ ʁ
AMF	ã f
AMG	ã
AMP	ã
AMR	ã ʁ
AMSTERDAM	a m s t ɛ ʁ d a m
AMT	ã
AMÉLIORERA	a m e l j ɔ ʁ a
ANAÏS	a n a i s
ANCENIS	ã s œ n i
AND	a n
ANDREA	ã d ʁ i a
ANDROID	ã d ʁ ɔ i d
ANGELES	ã ʒ e l ɛ s
ANGELIQUE	ã ʒ e l i k
ANGERVILLIERS	ã ʒ e ʁ v i l j e
ANGÉLA	ã d ʒ e l a
ANGÉLUS	ã ʒ e l y s
ANIME	a n i m e
ANIS	a n i s
ANNEYRON	a n e ʁ õ
ANOUILH	a n w i l
ANOULD	a n u
ANSELME	ã s ɛ l m
ANT	ã
ANTHELME	ã t ɛ l m
ANTHIAS	ã t i a
ANTIPOLIS	ã t i p ɔ l i s
ANUS	a n y s
AOÛT	u t
AP	a
APARTHEID	a p a ʁ t ɛ d
APB	a p e b e
APD	a p
APM	a p m
APN	a p e ɛ n
APPARENT	a p a ʁ ã
APPARTIENDRA	a p a ʁ t j ɛ̃ d ʁ a
APPARTIENDRAIENT	a p a ʁ t j ɛ̃ d ʁ ɛ
APPARTIENDRAIT	a p a ʁ t j ɛ̃ d ʁ ɛ
APPARTIENDREZ	a p a ʁ t j ɛ̃ d ʁ e
APPARTIENDRONS	a p a ʁ t j ɛ̃ d ʁ õ
APPARTIENDRONT	a p a ʁ t j ɛ̃ d ʁ õ
APPARTIENT	a p a ʁ t j ɛ̃
APPENDICE	a p ɛ̃ d i s
APPENDICECTOMIE	a p ɛ̃ d i s ɛ k t ɔ m i
APPENDICES	a p ɛ̃ d i s
APPENDICITE	a p ɛ̃ d i s i t
APPLE	a p œ l
APPORTIONS	a p ɔ ʁ t j õ
APS	a
AQP	a k y p e
AQUAGYM	a k w a ʒ ɛ̃
ARAFAT	a ʁ a f a t
ARBORESCENT	a ʁ b ɔ ʁ ɛ s ã
ARCHAEA	a ʁ k a i
ARCHANGES	a ʁ k ã ʒ
