ㄱ	k i jʌ k
ㄲ	ss a ŋ g i jʌ k
ㄴ	n i ɯ n
ㄷ	t i g ɯ t
ㄹ	l i ɯ l
ㅁ	m i ɯ m
ㅂ	p i ɯ p
ㅅ	s i o t
ㅆ	ss a ŋ s i o t
ㅇ	i ɯ ŋ
ㅈ	ʨ i ɯ t
ㅉ	ss a ŋ ʣ i ɯ t
ㅊ	ʨʰ i ɯ t
ㅋ	kʰ i ɯ k
ㅋㅋ	kʰ kʰ
ㅋㅋㅋ	kʰ kʰ k
ㅋㅋㅋㅋ	kʰ kʰ kʰ k
ㅌ	tʰ i ɯ t
ㅎ	h i ɯ t
ㅎㅎ	h t
ㅎㅎㅎ	h h t
ㅠ	ju
ㅠㅠ	ju ju
가	k a
가가	k a g a
가가지고	k a g a ʣ i g o
가감	k a g a m
가감없이	k a g a m ʌ p ss i
가거나	k a g ʌ n a
가거든	k a g ʌ d ɯ n
가거든요	k a g ʌ d ɯ n jo
가거라	k a g ʌ r a
가게	k a g e
가게가	k a g e g a
가게끔	k a g e gg ɯ m
가게나	k a g e n a
가게는	k a g e n ɯ n
가게도	k a g e d o
가게들이	k a g e d ɯ r i
가게로	k a g e r o
가게를	k a g e r ɯ l
가게에	k a g e e
가게에서	k a g e e s ʌ
가게의	k a g e i
가겠구나	k a g e t gg u n a
가겠나	k a g e n n a
가겠네	k a g e n n e
가겠네요	k a g e n n e jo
가겠다	k a g e t dd a
가겠다고	k a g e t dd a g o
가겠다는	k a g e t dd a n ɯ n
가겠습니까	k a g e t ss ɯ m n i gg a
가겠습니다	k a g e t ss ɯ m n i d a
가겠어	k a g e ss ʌ
가겠어요	k a g e ss ʌ jo
가겠죠	k a g e t ʨ jo
가겠지	k a g e t ʨʨ i
가겠지만	k a g e t ʨʨ i m a n
가격	k a g jʌ k
가격과	k a g jʌ k gg wa
가격까지	k a g jʌ k gg a ʣ i
가격대	k a g jʌ k dd ɛ
가격대가	k a g jʌ k dd e g a
