AAL	ɐ ɐ l
ABACATE	ɐ b ɐ k ɐ t i
ABACATES	ɐ b ɐ k ɐ t i ʃ
ABADE	ɐ b ɐ d i
ABADES	ɐ b ɐ d i ʃ
ABADIA	ɐ b ɐ d i ɐ
ABADIAS	ɐ b ɐ d i ɐ ʃ
ABADIO	ɐ b ɐ d i u
ABADIÂNIA	ɐ b ɐ d i ɐ n i ɐ
ABAETE	ɐ b ɐ ɛ t i
ABAFADIÇO	ɐ b ɐ f ɐ d i s u
ABAIXA-TE	ɐ b ɐ j ʃ ɐ t i
ABAL	ɐ b ɐ l
ABALÁVEL	ɐ b ɐ l ɐ v ɛ l
ABASTEÇA	ɐ b ɐ s t e s ɐ
ABASTEÇAM	ɐ b ɐ s t e s ɐ̃ w
ABASTEÇO	ɐ b ɐ s t e s u
ABATE	ɐ b ɐ t i
ABATES	ɐ b ɐ t i ʃ
ABATI	ɐ b ɐ t i
ABATIA	ɐ b ɐ t i ɐ
ABATIAM	ɐ b ɐ t i ɐ̃ w
ABATIDA	ɐ b ɐ t i d ɐ
ABATIDAS	ɐ b ɐ t i d ɐ ʃ
ABATIDO	ɐ b ɐ t i d u
ABATIDOS	ɐ b ɐ t i d u ʃ
ABATIMENTO	ɐ b ɐ t i m ẽ t u
ABATIMENTOS	ɐ b ɐ t i m ẽ t u ʃ
ABATISES	ɐ b ɐ t i z i ʃ
ABC	ɐ b e s e
ABDIAS	ɐ b i d i ɐ ʃ
ABDICA	ɐ b i d i k ɐ
ABDICADO	ɐ b i d i k ɐ d u
ABDICAM	ɐ b i d i k ɐ̃ w
ABDICAMOS	ɐ b i d i k ɐ m u ʃ
ABDICANDO	ɐ b i d i k ɐ̃ d u
ABDICAR	ɐ b i d i k ɐ ɾ
ABDICARAM	ɐ b i d i k ɐ ɾ ɐ̃ w
ABDICARMOS	ɐ b i d i k ɐ ɾ m u ʃ
ABDICASSE	ɐ b i d i k ɐ s i
ABDICASSEM	ɐ b i d i k ɐ s ẽ
ABDICAVA	ɐ b i d i k ɐ v ɐ
ABDICAÇÃO	ɐ b i d i k ɐ s ɐ̃ w
ABDICAÇÕES	ɐ b i d i k ɐ s õ j ʃ
ABDICO	ɐ b i d i k u
ABDICOU	ɐ b i d i k o w
ABDIEL	ɐ b i d i ɛ l
ABDIQUEI	ɐ b i d i k e j
ABDOMINAL	ɐ b i d o m i n ɐ l
ABDUTIVO	ɐ b i d u t i v u
ABEL	ɐ b ɛ l
ABERRANTE	ɐ b e ʁ ɐ̃ t i
ABERRANTES	ɐ b e ʁ ɐ̃ t i ʃ
